Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Norris Point (1009012) T 00010,255,41736,35592,52526,5048,44327,3700
Rocky Harbour (1009013) T 00000,390,38558,36583,43439,2874,37965,2288
Daniel's Harbour (1009015) T 00010,120,42403,36259,50840,8024,42055,5773
Cow Head (1009016) T 00010,205,33828,31185,41111,3749,35967,2956
Parson's Pond (1009017) T 00000,160,27752,27527,35083,4247,30616,3301
Hawke's Bay (1009018) T 00010,155,31685,30151,41081,4652,37342,4099
Port Saunders (1009019) T 00000,280,46951,41128,54565,4075,46738,3276
St. Pauls (1009020) T 00000,105,34234,31873,39377,4352,36158,3718
"Division No. 9, Subd. C (1009021) SNO 00000",1135,43559,37972,47122,1667,40897,1325
Port au Choix (1009022) T 00000,375,43789,36968,45384,2716,38997,2166
Anchor Point (1009023) T 01010,115,30345,26505,53049,7770,45479,6261
Flower's Cove (1009024) T 00010,120,30245,28069,39195,5755,34046,4395
Bird Cove (1009026) T 00000,0,0,0,0,0,0,0
Bide Arm (1009027) T 01000,0,0,0,0,0,0,0
Main Brook (1009028) T 00000,120,38433,37666,44110,5571,38930,4536
St. Anthony (1009029) T 00000,930,45103,40063,54876,3216,45825,2145
Glenburnie-Birchy Head-Shoal Brook (1009030) T 01000,120,39951,38417,44687,4046,38798,3121
"Division No. 9, Subd. D (1009031) SNO 00000",345,44195,39195,44941,2560,39656,2042
St. Lunaire-Griquet (1009032) T 00010,225,47718,42375,45479,2832,40268,2277
Cook's Harbour (1009034) T 00000,0,0,0,0,0,0,0
Raleigh (1009035) T 01000,0,0,0,0,0,0,0
Goose Cove East (1009039) T 00000,0,0,0,0,0,0,0
"Division No. 9, Subd. H (1009041) SNO 00000",0,0,0,0,0,0,0
Bellburns (1009042) T 01000,0,0,0,0,0,0,0
"Division No. 9, Subd. G (1009047) SNO 02010",0,0,0,0,0,0,0
River of Ponds (1009048) T 00000,100,35939,35899,50245,10223,41485,6471
Division No. 10 (1010)   00001,8545,67748,57222,74135,749,60626,537
"Division No. 10, Subd. A (1010001) SNO 01010",0,0,0,0,0,0,0
L'Anse-au-Loup (1010002) T 00000,215,52358,45909,56424,4290,49190,3429
Red Bay (1010003) T 00000,0,0,0,0,0,0,0
L'Anse-au-Clair (1010004) T 00010,0,0,0,0,0,0,0
Forteau (1010005) T 00010,160,41437,37085,55188,6428,47742,4988
West St. Modeste (1010006) T 02000,0,0,0,0,0,0,0
Pinware (1010007) T 00000,0,0,0,0,0,0,0
"Division No. 10, Subd. B (1010008) SNO 00000",145,39232,37440,46611,0,42190,0
Port Hope Simpson (1010009) T 00000,170,45653,42112,49454,0,44363,0
St. Lewis (1010010) T 00000,85,45440,41984,51611,0,44983,0
Mary's Harbour (1010011) T 00000,135,51008,46912,55650,0,48901,0
"Cartwright, Labrador (1010012) T 00000",225,33451,31616,41169,0,36409,0
Charlottetown (Labrador) (1010013) T 00000,115,48128,43648,56273,0,49830,0
"Division No. 10, Subd. C (1010020) SNO 00000",200,53632,48704,63895,0,56165,0
North West River (1010022) T 00000,205,58240,49280,66980,0,56028,0
Happy Valley-Goose Bay (1010025) T 00000,2725,67811,57310,71973,1777,59412,1294
"Division No. 10, Subd. D (1010029) SNO 00010",240,98090,77778,98141,4474,79857,3648
Labrador City (1010032) T 00000,2785,83175,67336,86897,2125,68467,1463
Wabush (1010034) T 00000,685,83554,65481,86812,3412,68949,2433
