Geography,Total - Private households,Median 2005 household income $,Median 2005 after-tax household income $,Average 2005 household income $,Standard error of average household income $,Average 2005 after-tax household income $,Standard error of average after-tax household income $
Stoneham-et-Tewkesbury (2422035) CU 01010,2380,57327,48746,64698,1975,53796,1433
Lac-Beauport (2422040) MÉ 00000,2195,87919,72342,94693,2480,75453,1708
Sainte-Brigitte-de-Laval (2422045) MÉ 01010,1495,55758,48300,60911,4230,51114,2486
Québec (2423)   21011,240790,46832,40306,58942,261,48611,179
Québec (2423027) V 01011,228095,45770,39560,57526,263,47593,182
L'Ancienne-Lorette (2423057) V 00001,6725,60721,50462,70222,1294,57312,900
Saint-Augustin-de-Desmaures (2423072) V 00001,5970,83984,69435,100334,2490,77704,1556
Lévis (2425)   00001,52660,57550,48597,66336,480,54842,334
Lévis (2425213) V 00001,52660,57550,48597,66336,480,54842,334
La Nouvelle-Beauce (2426)   01001,12180,51423,44511,58276,752,49846,576
Frampton (2426005) MÉ 01010,515,44240,39102,62287,6358,51784,4543
Saints-Anges (2426010) PE 00000,370,48557,44172,54735,3084,47903,2587
Vallée-Jonction (2426015) MÉ 01000,745,47351,40957,53905,2565,47056,2075
Saint-Elzéar (2426022) MÉ 00000,675,47597,44309,58404,2917,50595,2277
Sainte-Marie (2426030) V 00000,4680,50299,44080,59836,1318,50578,987
Sainte-Marguerite (2426035) PE 01010,420,52317,45996,51874,2878,45595,2433
Sainte-Hénédine (2426040) PE 01010,445,51901,45512,54115,3343,46219,2675
Scott (2426048) MÉ 01000,705,52010,44532,55330,2572,47965,2081
Saint-Bernard (2426055) MÉ 01010,655,49781,44429,56548,2962,50017,2469
Saint-Isidore (2426063) MÉ 00000,955,50718,45189,55812,2056,48549,1709
Saint-Lambert-de-Lauzon (2426070) PE 01010,2020,55110,47702,60834,1664,51674,1292
Robert-Cliche (2427)   01000,7470,45125,40212,53003,1169,45492,787
Saint-Victor (2427008) MÉ 01010,930,41013,38999,51473,2576,44428,1951
Saint-Alfred (2427015) MÉ 01010,180,48650,44462,52995,5292,46228,4208
Beauceville (2427028) V 00000,2590,43385,37716,53156,2586,44716,1516
Saint-Odilon-de-Cranbourne (2427035) PE 01000,545,46673,44142,54332,5111,47765,4079
Saint-Joseph-de-Beauce (2427043) V 00000,1825,50487,44319,54630,1729,46785,1319
Saint-Joseph-des-Érables (2427050) MÉ 00000,135,53370,52819,61174,8367,53418,6188
Saint-Jules (2427055) PE 01000,190,37651,33498,54684,6963,48028,5609
Tring-Jonction (2427060) VL 00000,550,42892,38033,48846,2679,42871,2217
Saint-Frédéric (2427065) PE 01010,395,45491,42336,51734,3113,45639,2580
Saint-Séverin (2427070) PE 02020,125,41612,35308,42424,4010,38096,3615
Les Etchemins (2428)   01010,7235,39791,36429,45691,772,40229,617
Saint-Zacharie (2428005) MÉ 01010,785,40252,36451,44062,2103,39427,1751
Sainte-Aurélie (2428015) MÉ 01010,405,32052,29814,40984,2836,36429,2323
Saint-Prosper (2428020) MÉ 01010,1420,40865,37725,48514,1685,42870,1378
Saint-Benjamin (2428025) MÉ 01000,360,42826,39418,49376,3331,43115,2644
Sainte-Rose-de-Watford (2428030) MÉ 01000,315,35282,34911,44167,3741,39128,3001
Saint-Louis-de-Gonzague (2428035) MÉ 01000,175,35901,34128,34847,3267,32052,2783
Saint-Cyprien (2428040) PE 01000,260,35957,33909,37824,3104,34507,2605
Sainte-Justine (2428045) MÉ 01010,740,44277,38826,54987,3401,47529,2574
Lac-Etchemin (2428053) MÉ 02021,1615,43220,38455,47813,1568,41588,1255
Saint-Luc-de-Bellechasse (2428060) MÉ 01010,235,43020,34412,44137,4707,38200,3574
Sainte-Sabine (2428065) PE 01000,200,35529,32887,37833,3338,33452,2649
Saint-Camille-de-Lellis (2428070) PE 01000,400,37787,29773,37457,2350,33299,1911
Saint-Magloire (2428075) MÉ 01000,320,26352,26265,36827,3279,32813,2725
Beauce-Sartigan (2429)   01010,20440,44461,39020,52752,1222,45063,829
Saint-Théophile (2429005) MÉ 01010,305,42170,38074,47198,3095,41784,2603
Saint-Gédéon-de-Beauce (2429013) MÉ 01001,845,49008,43541,52960,2564,45865,1876
Saint-Hilaire-de-Dorset (2429020) PE 01000,0,0,0,0,0,0,0
Saint-Évariste-de-Forsyth (2429025) MÉ 01010,255,36488,34184,40956,3522,36855,3064
La Guadeloupe (2429030) VL 01010,720,38257,34404,45043,3497,39267,2358
Saint-Honoré-de-Shenley (2429038) MÉ 01010,615,44056,39483,48538,2159,42977,1779
Saint-Martin (2429045) PE 00001,1030,42516,36042,46145,1763,40744,1484
Saint-René (2429050) PE 01000,240,39030,32954,41371,3663,36488,2972
Saint-Côme--Linière (2429057) MÉ 01010,1315,45661,39512,49657,1797,43029,1407
Saint-Philibert (2429065) MÉ 01020,140,38525,31935,39648,4210,35664,3536
Saint-Georges (2429073) V 01011,12745,44365,38331,53983,1868,45695,1261
Lac-Poulin (2429095) VL 00000,0,0,0,0,0,0,0
Saint-Benoît-Labre (2429100) MÉ 00000,600,47874,44861,55777,3012,48235,2286
Saint-Éphrem-de-Beauce (2429112) MÉ 01010,925,50407,45438,55566,2205,48685,1768
Notre-Dame-des-Pins (2429120) PE 00000,410,47055,40021,53259,3239,46125,2625
Saint-Simon-les-Mines (2429125) MÉ 00000,185,51496,44584,64857,6989,54482,5201
Le Granit (2430)   01010,9365,40525,36331,49546,921,42753,682
Saint-Augustin-de-Woburn (2430005) PE 01020,290,40319,36632,45752,2970,40079,2427
Notre-Dame-des-Bois (2430010) MÉ 02020,375,25296,25296,32104,2837,29665,2541
Val-Racine (2430015) PE 01000,0,0,0,0,0,0,0
Piopolis (2430020) MÉ 01000,165,40414,36830,53591,5618,45831,4317
Frontenac (2430025) MÉ 01010,670,52314,46244,60984,4306,51657,3190
Lac-Mégantic (2430030) V 01010,2690,36857,33623,47542,1514,40814,1158
Marston (2430035) CT 01010,270,56491,49606,69125,5177,57228,3712
Milan (2430040) MÉ 01020,115,31768,28043,35511,4895,31369,4072
Nantes (2430045) MÉ 01010,595,42601,39468,46902,2548,40717,2018
Sainte-Cécile-de-Whitton (2430050) MÉ 01000,350,43478,39059,47430,2840,41923,2330
Audet (2430055) MÉ 00000,260,47257,40556,51762,3726,45114,3030
Saint-Robert-Bellarmin (2430070) MÉ 00000,220,45763,43857,52367,3618,46703,3001
Saint-Ludger (2430072) MÉ 01000,470,45961,40848,51300,3544,44636,2874
Lac-Drolet (2430080) MÉ 01000,485,43940,37096,48874,3093,42424,2435
Saint-Sébastien (2430085) MÉ 01010,300,41574,35870,49770,4541,43662,3587
Courcelles (2430090) PE 01000,400,38960,36204,45113,3658,39621,2699
Lambton (2430095) MÉ 02010,675,38584,34708,52564,4749,45275,3535
Saint-Romain (2430100) MÉ 00000,250,42540,40492,47913,3401,41676,2596
Stornoway (2430105) MÉ 00000,215,38305,35745,42176,4053,38170,3471
Stratford (2430110) CT 01010,490,39708,37224,58665,8593,48053,5432
L'Amiante (2431)   01010,18960,38618,34863,46735,547,40478,409
Beaulac-Garthby (2431008) MÉ 02010,415,41221,36304,42041,2253,35897,1939
Disraeli (2431015) V 01010,1175,32926,30876,40814,2080,36533,1690
Disraeli (2431020) PE 02020,450,35004,33553,42136,2867,37143,2136
Saint-Jacques-le-Majeur-de-Wolfestown (2431025) PE 01020,0,0,0,0,0,0,0
Saint-Fortunat (2431030) MÉ 01000,115,39052,38427,37517,2833,33960,2337
Saint-Julien (2431035) MÉ 01010,150,30384,27779,35466,3652,31793,2860
Irlande (2431040) MÉ 00000,350,43561,35307,46125,2658,41049,2261
Saint-Joseph-de-Coleraine (2431045) MÉ 02020,890,39139,36511,48842,2996,41916,2056
Sainte-Praxède (2431050) PE 02010,175,40231,36099,65475,11487,52820,7827
Adstock (2431056) MÉ 01011,1080,47303,42042,58520,3280,48130,2237
Sainte-Clotilde-de-Beauce (2431060) MÉ 01000,225,44800,42240,50934,4226,43763,3135
Thetford Mines (2431084) V 01011,11565,38347,34267,46551,688,40317,516
Saint-Adrien-d'Irlande (2431095) MÉ 01000,160,36452,33340,40972,4371,36825,3723
Saint-Jean-de-Brébeuf (2431100) MÉ 01020,150,42583,37675,43304,3342,38274,2745
Kinnear's Mills (2431105) MÉ 02020,125,39657,39032,47812,5218,42389,4069
East Broughton (2431122) MÉ 01010,970,37757,34093,45537,1989,40273,1612
Sacré-Coeur-de-Jésus (2431130) PE 01010,215,44745,39687,47537,3462,41340,2695
Saint-Pierre-de-Broughton (2431135) MÉ 01010,375,45471,36445,48368,4006,42801,3467
Saint-Jacques-de-Leeds (2431140) MÉ 01010,280,38957,34221,46190,4275,40390,3188
L'Érable (2432)   01011,9605,39552,36074,46166,693,40576,551
Saint-Ferdinand (2432013) MÉ 01010,930,45414,39622,51274,1974,44105,1559
Sainte-Sophie-d'Halifax (2432023) MÉ 01000,245,42808,36961,48936,4094,42502,3169
Princeville (2432033) V 01010,2240,38277,34854,46848,1463,41546,1269
Plessisville (2432040) V 01010,3000,37943,33948,42995,1230,37773,917
Plessisville (2432045) PE 00000,940,51173,44935,56209,2902,48434,2201
Saint-Pierre-Baptiste (2432050) PE 01010,175,43626,39737,46773,5362,39588,3924
Inverness (2432058) MÉ 01020,350,32425,29757,35519,2579,32438,2142
Lyster (2432065) MÉ 01011,670,37080,36664,45658,2269,40499,1852
Laurierville (2432072) MÉ 01010,545,43254,39552,48882,2445,43313,2008
Notre-Dame-de-Lourdes (2432080) PE 01000,295,35660,33823,40863,3163,36716,2604
Villeroy (2432085) MÉ 00000,210,26675,25180,32707,2970,30214,2582
Lotbinière (2433)   01001,10850,45563,40872,53377,827,45996,659
Saint-Sylvestre (2433007) MÉ 01010,375,37697,34948,49646,4313,43548,3241
Sainte-Agathe-de-Lotbinière (2433017) MÉ 01001,480,42909,34882,49365,3647,41886,2632
Saint-Patrice-de-Beaurivage (2433025) MÉ 01000,385,42124,38329,66604,10164,59037,9577
Saint-Narcisse-de-Beaurivage (2433030) PE 00010,350,43172,40322,55206,4031,47566,3049
Saint-Gilles (2433035) PE 01010,730,52260,47362,59122,3334,50039,2264
Dosquet (2433040) MÉ 01000,380,36953,33703,45553,2860,39896,2287
Saint-Agapit (2433045) MÉ 00000,1160,46394,41619,52686,2689,45241,1862
Saint-Flavien (2433052) MÉ 00000,540,45691,41727,50164,2424,43925,2002
Laurier-Station (2433060) VL 00000,940,45890,41274,51734,2193,44944,1740
Saint-Janvier-de-Joly (2433065) MÉ 01000,360,38349,37069,47021,3381,41656,2795
Val-Alain (2433070) MÉ 00000,390,36870,32444,39765,2581,35366,2186
Saint-Édouard-de-Lotbinière (2433080) PE 01000,460,43283,40061,52175,4610,45346,3492
Notre-Dame-du-Sacré-Coeur-d'Issoudun (2433085) PE 00000,290,51029,44156,54740,3695,47635,2930
Saint-Apollinaire (2433090) MÉ 01000,1790,53599,46578,56622,1715,48062,1289
Saint-Antoine-de-Tilly (2433095) MÉ 00000,605,57914,53538,70676,3900,58716,2894
Sainte-Croix (2433102) MÉ 01001,975,43863,37799,51870,2639,44890,2186
Lotbinière (2433115) MÉ 01020,400,43047,38788,46223,2752,40389,2193
Leclercville (2433123) MÉ 01000,230,30812,29057,37134,3438,33488,2848
Portneuf (2434)   01011,19665,44732,39597,52935,609,45173,437
Neuville (2434007) V 00001,1470,65441,55443,73890,2694,61152,1926
Pont-Rouge (2434017) V 00000,2940,56886,48655,58941,1363,50077,1054
Donnacona (2434025) V 01000,2410,43422,37980,51504,1540,43716,1163
Cap-Santé (2434030) V 01000,1095,58961,50160,60232,2359,50626,1780
Saint-Basile (2434038) V 01010,1085,44839,40754,49032,2029,42108,1552
Portneuf (2434048) V 01011,1365,40901,36409,50859,2214,43083,1562
Deschambault-Grondines (2434058) MÉ 01011,880,44426,39435,49055,2254,41805,1663
Saint-Gilbert (2434060) PE 00010,125,43240,38538,41322,3961,37408,3282
Saint-Marc-des-Carrières (2434065) V 00000,1170,39212,35969,47765,1815,41797,1445
Saint-Casimir (2434078) MÉ 01010,670,37257,33283,43745,2240,38492,1744
Saint-Thuribe (2434085) PE 01010,130,44654,39388,54069,11915,48794,11147
Saint-Ubalde (2434090) MÉ 01010,655,38369,32995,44865,5079,37743,3080
Saint-Alban (2434097) MÉ 01010,495,33804,31562,38786,2049,35071,1684
Sainte-Christine-d'Auvergne (2434105) MÉ 02010,230,29977,26733,38674,3462,34131,2680
Saint-Léonard-de-Portneuf (2434115) MÉ 01000,450,40305,36480,46087,2938,40041,2320
Lac-Sergent (2434120) V 01010,200,63042,49042,68658,5942,57472,4862
Saint-Raymond (2434128) V 01000,3980,39236,35543,50234,1629,43135,1066
Rivière-à-Pierre (2434135) MÉ 02020,300,39986,35551,44560,2715,39336,2283
Mékinac (2435)   01010,5810,35303,32391,43050,882,37550,669
Notre-Dame-de-Montauban (2435005) MÉ 02020,410,31213,28670,37211,2873,32424,2302
Lac-aux-Sables (2435010) PE 01000,600,32432,30668,42155,2454,36865,1889
Saint-Adelphe (2435015) PE 01020,445,34302,32121,41668,3136,36217,2232
Saint-Séverin (2435020) PE 00010,370,36590,33468,49010,3638,42329,2803
Saint-Tite (2435027) V 01010,1760,35531,32709,45466,1861,39226,1349
Hérouxville (2435035) PE 01000,555,39711,35632,45859,2680,40142,2122
Grandes-Piles (2435040) VL 01000,185,39987,38670,43122,4332,37039,3388
Saint-Roch-de-Mékinac (2435045) PE 01010,160,34266,32619,37022,3828,33295,3056
Sainte-Thècle (2435050) MÉ 01010,1115,35799,33543,41682,1796,36896,1456
Trois-Rives (2435055) MÉ 02010,205,31131,29999,33229,3343,29933,2717
Shawinigan (2436)   01011,24215,35356,31891,45311,808,38767,562
Shawinigan (2436033) V 01011,24215,35356,31891,45311,808,38767,562
Francheville (2437)   01001,64725,40324,35938,51065,351,43028,255
Trois-Rivières (2437067) V 01001,57555,40031,35509,51115,376,42990,272
Sainte-Anne-de-la-Pérade (2437205) MÉ 01000,895,33902,30270,41887,3317,36284,2199
Batiscan (2437210) MÉ 00000,415,39686,35482,49779,4130,41920,2988
Sainte-Geneviève-de-Batiscan (2437215) PE 01000,445,40128,36173,53481,4501,44976,3197
Champlain (2437220) MÉ 01010,705,47522,39025,54684,3158,46183,2603
Saint-Luc-de-Vincennes (2437225) MÉ 01000,235,41836,38989,50662,5043,42897,3586
Saint-Maurice (2437230) PE 00000,940,45716,41060,53066,2916,45927,2437
Notre-Dame-du-Mont-Carmel (2437235) PE 00000,2040,49585,44510,54844,1599,46728,1252
Saint-Narcisse (2437240) PE 01000,755,41652,37592,50892,2912,43176,2129
Saint-Stanislas (2437245) MÉ 01010,475,38210,32851,42060,2486,36865,2009
Saint-Prosper (2437250) PE 00000,245,37435,34442,39529,2609,35561,2029
Bécancour (2438)   01000,7840,42900,38212,52241,981,44419,757
Saint-Sylvère (2438005) MÉ 00000,280,40607,37791,47171,4171,41771,3510
Bécancour (2438010) V 01000,4595,48010,42134,58388,1521,48797,1163
Sainte-Marie-de-Blandford (2438015) MÉ 00000,210,36423,31775,43073,4197,37680,3487
Lemieux (2438020) MÉ 01010,125,35772,32653,39043,3431,35221,2844
Manseau (2438028) MÉ 01000,390,38522,36474,41165,2781,36912,2290
Sainte-Françoise (2438035) MÉ 01010,200,41720,35841,43884,2850,38462,2274
Sainte-Sophie-de-Lévrard (2438040) PE 01010,340,30645,29113,37981,3562,34469,2913
Fortierville (2438047) MÉ 00010,290,35681,35047,38720,2462,35195,2030
Parisville (2438055) PE 00000,215,39696,36368,44978,4373,40312,3793
Sainte-Cécile-de-Lévrard (2438060) PE 01000,155,38213,33271,47699,5746,41400,4488
Saint-Pierre-les-Becquets (2438065) MÉ 00000,515,46393,38254,51663,3398,42806,2578
Deschaillons-sur-Saint-Laurent (2438070) MÉ 01010,440,40880,36132,42582,2478,37127,2014
Wôlinak (2438802) IRI 02020,0,0,0,0,0,0,0
Arthabaska (2439)   01010,27580,41758,37259,51051,528,43565,386
Saints-Martyrs-Canadiens (2439005) PE 01000,125,37052,32458,53000,8332,43223,5783
Ham-Nord (2439010) CT 01000,355,36317,34717,38985,3144,35252,2697
Notre-Dame-de-Ham (2439015) MÉ 01010,185,29980,26813,31670,3256,28842,2782
Saint-Rémi-de-Tingwick (2439020) PE 01010,200,41512,32124,43241,3961,37470,3157
Tingwick (2439025) MÉ 01020,595,41182,38722,46817,2329,41444,1917
Chesterville (2439030) MÉ 01010,340,35527,33366,47116,3764,40661,2872
Chester-Est (2439035) CT 01010,135,38210,32326,51046,6060,45564,5038
Saint-Norbert-d'Arthabaska (2439042) MÉ 00000,305,41907,36441,50890,4084,43513,3436
Norbertville (2439045) VL 00020,110,40874,38011,51419,5630,44814,4576
Saint-Christophe-d'Arthabaska (2439060) PE 01000,985,55603,46813,64199,3022,53772,2230
Victoriaville (2439062) V 01010,17370,41380,36664,50925,695,43294,502
Warwick (2439077) V 01010,1940,45559,40243,51567,1609,44303,1264
Saint-Albert (2439085) MÉ 01010,600,42260,39771,47205,2415,41133,1939
Sainte-Élisabeth-de-Warwick (2439090) PE 00000,135,32370,31986,42787,4606,38930,3921
Kingsey Falls (2439097) V 01000,755,67603,55011,76295,4000,61627,2780
Sainte-Séraphine (2439105) PE 01010,155,33028,31490,39868,4680,35737,3713
Sainte-Clotilde-de-Horton (2439117) MÉ 00000,645,35746,33144,52787,5389,43715,3478
Saint-Samuel (2439130) PE 00000,285,36774,33359,42053,2618,36887,2104
Saint-Valère (2439135) MÉ 00000,480,44953,41213,48263,2630,43157,2071
Saint-Rosaire (2439145) PE 01010,310,42268,37523,45953,2905,40254,2294
Sainte-Anne-du-Sault (2439150) MÉ 01010,545,42672,39720,49129,3078,43044,2409
Daveluyville (2439155) V 00000,450,31129,28597,36642,2526,32900,2088
Maddington (2439165) CT 01020,165,40822,37065,43438,3667,38991,2993
Saint-Louis-de-Blandford (2439170) PE 01020,400,43456,39676,52477,4236,44984,3217
Asbestos (2440)   01010,6400,38483,35277,44296,765,38769,611
Saint-Joseph-de-Ham-Sud (2440005) PE 01020,0,0,0,0,0,0,0
Saint-Adrien (2440010) MÉ 01000,205,40465,39953,48593,5601,42495,3964
Wotton (2440017) MÉ 01020,585,42711,39334,48842,2624,43280,2290
Saint-Camille (2440025) CT 01010,190,36277,32510,42297,3438,37155,2753
Saint-Georges-de-Windsor (2440032) MÉ 01010,355,40815,36521,50480,3464,44176,2812
Asbestos (2440043) V 01010,3220,36678,33833,42154,1011,36921,804
Danville (2440047) V 01000,1730,40077,36614,45672,1537,39783,1215
Le Haut-Saint-François (2441)   01010,8830,39624,36146,46842,791,40776,584
Saint-Isidore-de-Clifton (2441012) MÉ 01010,320,36155,33450,37933,2704,33727,2100
Chartierville (2441020) MÉ 01000,180,38580,34018,34087,3049,31249,2753
La Patrie (2441027) MÉ 01010,325,38725,37235,49718,3288,43510,2676
Newport (2441037) MÉ 01001,305,37406,32658,34730,2314,31540,1993
Cookshire-Eaton (2441038) V 00011,1945,43802,38932,49720,1603,43087,1258
Ascot Corner (2441055) MÉ 00010,965,45857,41446,60899,4244,50690,2702
East Angus (2441060) V 00000,1445,38832,34845,45931,1674,39845,1290
Westbury (2441065) CT 00000,340,50459,45353,57593,3869,50258,3072
Bury (2441070) MÉ 00010,520,35183,33792,40522,2053,36386,1692
Hampden (2441075) CT 01000,0,0,0,0,0,0,0
Scotstown (2441080) V 01000,250,27796,26100,36011,4186,32011,3412
Weedon (2441098) MÉ 01010,1160,36886,32113,43239,1933,37839,1522
Dudswell (2441117) MÉ 01010,725,41321,37099,46174,1942,40524,1557
Le Val-Saint-François (2442)   00001,11870,47724,41641,55402,794,46727,573
Stoke (2442005) MÉ 00001,1005,54141,48254,60503,2372,51354,1794
Saint-François-Xavier-de-Brompton (2442020) PE 00000,810,51172,43304,56582,2247,48587,1764
Saint-Denis-de-Brompton (2442025) PE 01011,1255,59077,49417,70501,3261,57158,2240
Racine (2442032) MÉ 00010,540,51913,40867,69131,6901,52667,3949
Bonsecours (2442040) MÉ 01000,235,47265,42710,53333,5395,44429,3696
Lawrenceville (2442045) VL 01000,255,51116,46212,56671,3442,48518,2821
Sainte-Anne-de-la-Rochelle (2442050) MÉ 01020,215,48542,45982,52768,3741,46423,2872
Valcourt (2442055) V 00000,1015,48384,40032,56921,2803,48107,2291
Valcourt (2442060) CT 00000,420,59223,51029,60824,3047,52304,2439
Maricourt (2442065) MÉ 00000,165,45051,40423,42326,4345,36822,3816
Kingsbury (2442070) VL 00000,0,0,0,0,0,0,0
Melbourne (2442075) CT 00000,430,44914,40046,52270,3368,43404,2466
Ulverton (2442078) MÉ 00000,145,34358,32667,51355,7118,43716,5318
Windsor (2442088) V 00000,2280,40470,36010,52176,1906,44227,1374
Val-Joli (2442095) MÉ 00000,575,49022,43655,49552,2367,43266,1916
Richmond (2442098) V 01010,1480,38266,33264,43765,1523,38130,1202
Saint-Claude (2442100) MÉ 01010,450,46581,41744,53051,3083,44925,2257
Cleveland (2442110) CT 01000,555,46225,37774,51521,3113,44618,2492
Sherbrooke (2443)   01001,65990,41229,36623,52137,372,43948,271
Sherbrooke (2443027) V 01001,65990,41229,36623,52137,372,43948,271
Coaticook (2444)   00001,7280,44422,39741,50103,795,43410,625
Saint-Malo (2444003) MÉ 01000,195,42696,38597,52564,4349,46640,3682
Saint-Venant-de-Paquette (2444005) MÉ 01000,0,0,0,0,0,0,0
East Hereford (2444010) MÉ 01010,145,54236,45036,75078,8740,61520,6583
Saint-Herménégilde (2444015) MÉ 01010,285,36962,33179,46343,4476,38858,3308
Dixville (2444023) MÉ 00000,235,42334,38494,47331,3773,41738,2883
Coaticook (2444037) V 00000,3730,42647,37949,47699,1045,41570,829
Barnston-Ouest (2444045) MÉ 00000,215,37527,34371,50267,4567,43504,3670
Stanstead-Est (2444050) MÉ 01010,255,51051,40624,53841,4299,46183,3440
Sainte-Edwidge-de-Clifton (2444055) CT 00000,160,40821,38078,43439,3499,39658,2913
Martinville (2444060) MÉ 00010,165,60470,43175,53179,4427,46423,3675
Compton (2444071) MÉ 00011,1100,46259,42769,50618,2157,44021,1723
